name,model,tag,category,keep,shift_needed_2h,scenario1
DE4_MRL_negative,DE4,input,balancing,yes,x,x
DE2_MRL_negative,DE2,input,balancing,yes,x,x
DE3_MRL_negative,DE3,input,balancing,yes,x,x
DE1_MRL_negative,DE1,input,balancing,yes,x,x
DE_MRL_negative,all,input,balancing,yes,x,x
DE4_SRL_positive,DE4,input,balancing,yes,x,x
DE2_SRL_positive,DE2,input,balancing,yes,x,x
DE3_SRL_positive,DE3,input,balancing,yes,x,x
DE1_SRL_positive,DE1,input,balancing,yes,x,x
DE_SRL_positive,all,input,balancing,yes,x,x
DE4_SRL_negative,DE4,input,balancing,yes,x,x
DE2_SRL_negative,DE2,input,balancing,yes,x,x
DE3_SRL_negative,DE3,input,balancing,yes,x,x
DE1_SRL_negative,DE1,input,balancing,yes,x,x
DE_SRL_negative,all,input,balancing,yes,x,x
DE1_VWAP_345to360,DE1,input,price,yes,,x
DE1_VWAP_330to345,DE1,input,price,yes,,x
DE1_VWAP_315to330,DE1,input,price,yes,,x
DE1_VWAP_300to315,DE1,input,price,yes,,x
DE1_VWAP_285to300,DE1,input,price,yes,,x
DE1_VWAP_270to285,DE1,input,price,yes,,x
DE1_VWAP_255to270,DE1,input,price,yes,,x
DE1_VWAP_240to255,DE1,input,price,yes,,x
DE1_VWAP_225to240,DE1,input,price,yes,,x
DE1_VWAP_210to225,DE1,input,price,yes,,x
DE1_VWAP_195to210,DE1,input,price,yes,,x
DE1_VWAP_180to195,DE1,input,price,yes,,x
DE1_VWAP_165to180,DE1,input,price,yes,,x
DE1_VWAP_150to165,DE1,input,price,yes,,x
DE1_VWAP_135to150,DE1,input,price,yes,,x
DE1_VWAP_120to135,DE1,input,price,yes,,x
DE1_VWAP_105to120,DE1,input,price,yes,,x
DE1_VWAP_90to105,DE1,input,price,yes,,x
DE1_VWAP_75to90,DE1,input,price,pending,,x
DE1_VWAP_60to75,DE1,input,price,pending,,x
DE1_VWAP_45to60,DE1,input,price,only past products,,x
DE1_VWAP_30to45,DE1,input,price,only past products,,x
DE1_VWAP_15to30,DE1,input,price,only past products,,x
DE1_VWAP_0to15,DE1,input,price,only past products,,x
DE1_VWAP_0to30,DE1,label,price,yes,,x
DE1_VWAP_total_volume_345to360,DE1,input,volume,yes,,x
DE1_VWAP_total_volume_330to345,DE1,input,volume,yes,,x
DE1_VWAP_total_volume_315to330,DE1,input,volume,yes,,x
DE1_VWAP_total_volume_300to315,DE1,input,volume,yes,,x
DE1_VWAP_total_volume_285to300,DE1,input,volume,yes,,x
DE1_VWAP_total_volume_270to285,DE1,input,volume,yes,,x
DE1_VWAP_total_volume_255to270,DE1,input,volume,yes,,x
DE1_VWAP_total_volume_240to255,DE1,input,volume,yes,,x
DE1_VWAP_total_volume_225to240,DE1,input,volume,yes,,x
DE1_VWAP_total_volume_210to225,DE1,input,volume,yes,,x
DE1_VWAP_total_volume_195to210,DE1,input,volume,yes,,x
DE1_VWAP_total_volume_180to195,DE1,input,volume,yes,,x
DE1_VWAP_total_volume_165to180,DE1,input,volume,yes,,x
DE1_VWAP_total_volume_150to165,DE1,input,volume,yes,,x
DE1_VWAP_total_volume_135to150,DE1,input,volume,yes,,x
DE1_VWAP_total_volume_120to135,DE1,input,volume,yes,,x
DE1_VWAP_total_volume_105to120,DE1,input,volume,yes,,x
DE1_VWAP_total_volume_90to105,DE1,input,volume,yes,,x
DE1_VWAP_total_volume_75to90,DE1,input,volume,pending,,x
DE1_VWAP_total_volume_60to75,DE1,input,volume,pending,,x
DE1_VWAP_total_volume_45to60,DE1,input,volume,only past products,,x
DE1_VWAP_total_volume_30to45,DE1,input,volume,only past products,,x
DE1_VWAP_total_volume_15to30,DE1,input,volume,only past products,,x
DE1_VWAP_total_volume_0to15,DE1,input,volume,only past products,,x
DE1_VWAP_total_volume_0to30,DE1,input,volume,no,,
DE1_VWAP_total_trades_345to360,DE1,input,ntrades,yes,,x
DE1_VWAP_total_trades_330to345,DE1,input,ntrades,yes,,x
DE1_VWAP_total_trades_315to330,DE1,input,ntrades,yes,,x
DE1_VWAP_total_trades_300to315,DE1,input,ntrades,yes,,x
DE1_VWAP_total_trades_285to300,DE1,input,ntrades,yes,,x
DE1_VWAP_total_trades_270to285,DE1,input,ntrades,yes,,x
DE1_VWAP_total_trades_255to270,DE1,input,ntrades,yes,,x
DE1_VWAP_total_trades_240to255,DE1,input,ntrades,yes,,x
DE1_VWAP_total_trades_225to240,DE1,input,ntrades,yes,,x
DE1_VWAP_total_trades_210to225,DE1,input,ntrades,yes,,x
DE1_VWAP_total_trades_195to210,DE1,input,ntrades,yes,,x
DE1_VWAP_total_trades_180to195,DE1,input,ntrades,yes,,x
DE1_VWAP_total_trades_165to180,DE1,input,ntrades,yes,,x
DE1_VWAP_total_trades_150to165,DE1,input,ntrades,yes,,x
DE1_VWAP_total_trades_135to150,DE1,input,ntrades,yes,,x
DE1_VWAP_total_trades_120to135,DE1,input,ntrades,yes,,x
DE1_VWAP_total_trades_105to120,DE1,input,ntrades,yes,,x
DE1_VWAP_total_trades_90to105,DE1,input,ntrades,yes,,x
DE1_VWAP_total_trades_75to90,DE1,input,ntrades,pending,,x
DE1_VWAP_total_trades_60to75,DE1,input,ntrades,pending,,x
DE1_VWAP_total_trades_45to60,DE1,input,ntrades,only past products,,x
DE1_VWAP_total_trades_30to45,DE1,input,ntrades,only past products,,x
DE1_VWAP_total_trades_15to30,DE1,input,ntrades,only past products,,x
DE1_VWAP_total_trades_0to15,DE1,input,ntrades,only past products,,x
DE1_VWAP_total_trades_0to30,DE1,input,ntrades,no,,
DE1_id_balance_345to360,DE1,input,balance,yes,,x
DE1_id_balance_to_DE2_345to360,DE1,input,balance,yes,,x
DE1_id_balance_to_DE3_345to360,DE1,input,balance,yes,,x
DE1_id_balance_to_DE4_345to360,DE1,input,balance,yes,,x
DE1_id_trade_to_self_345to360,DE1,input,balance,yes,,x
DE1_id_balance_330to345,DE1,input,balance,yes,,x
DE1_id_balance_to_DE2_330to345,DE1,input,balance,yes,,x
DE1_id_balance_to_DE3_330to345,DE1,input,balance,yes,,x
DE1_id_balance_to_DE4_330to345,DE1,input,balance,yes,,x
DE1_id_trade_to_self_330to345,DE1,input,balance,yes,,x
DE1_id_balance_315to330,DE1,input,balance,yes,,x
DE1_id_balance_to_DE2_315to330,DE1,input,balance,yes,,x
DE1_id_balance_to_DE3_315to330,DE1,input,balance,yes,,x
DE1_id_balance_to_DE4_315to330,DE1,input,balance,yes,,x
DE1_id_trade_to_self_315to330,DE1,input,balance,yes,,x
DE1_id_balance_300to315,DE1,input,balance,yes,,x
DE1_id_balance_to_DE2_300to315,DE1,input,balance,yes,,x
DE1_id_balance_to_DE3_300to315,DE1,input,balance,yes,,x
DE1_id_balance_to_DE4_300to315,DE1,input,balance,yes,,x
DE1_id_trade_to_self_300to315,DE1,input,balance,yes,,x
DE1_id_balance_285to300,DE1,input,balance,yes,,x
